,Year,No_Smoothing,Lowess(5)
0,1965,-0.11,-0.05
1,1966,-0.06,-0.06
2,1967,-0.02,-0.05
3,1968,-0.08,-0.03
4,1969,0.05,-0.02
5,1970,0.03,0.0
6,1971,-0.08,0.0
7,1972,0.01,0.0
8,1973,0.16,0.0
9,1974,-0.07,0.01
10,1975,-0.01,0.02
11,1976,-0.1,0.04
12,1977,0.18,0.07
13,1978,0.07,0.12
14,1979,0.16,0.16
15,1980,0.26,0.2
16,1981,0.32,0.21
17,1982,0.14,0.22
18,1983,0.31,0.21
19,1984,0.16,0.21
20,1985,0.12,0.22
21,1986,0.18,0.24
22,1987,0.32,0.27
23,1988,0.39,0.31
24,1989,0.28,0.33
25,1990,0.45,0.34
26,1991,0.41,0.33
27,1992,0.22,0.33
28,1993,0.24,0.34
29,1994,0.32,0.34
30,1995,0.45,0.37
31,1996,0.33,0.4
32,1997,0.47,0.43
33,1998,0.61,0.45
34,1999,0.39,0.48
35,2000,0.4,0.51
36,2001,0.54,0.53
37,2002,0.63,0.55
38,2003,0.62,0.59
39,2004,0.54,0.61
40,2005,0.68,0.62
41,2006,0.64,0.63
42,2007,0.67,0.64
43,2008,0.55,0.65
44,2009,0.66,0.65
45,2010,0.73,0.65
46,2011,0.61,0.67
47,2012,0.65,0.7
48,2013,0.68,0.74
49,2014,0.75,0.79
50,2015,0.9,0.83
51,2016,1.02,0.88
52,2017,0.93,0.91
53,2018,0.85,0.95
54,2019,0.98,0.98
55,2020,1.02,1.01
