,Year,No_Smoothing,Lowess(5),mean_temp_change
0,1965,-0.11,-0.05,-0.2113601911915329
1,1966,-0.06,-0.06,0.09343083670715262
2,1967,-0.02,-0.05,-0.14202608401084024
3,1968,-0.08,-0.03,-0.1545082910321489
4,1969,0.05,-0.02,0.10100169548999659
5,1970,0.03,0.0,0.06872554347826093
6,1971,-0.08,0.0,-0.17190186757215595
7,1972,0.01,0.0,-0.04449695121951227
8,1973,0.16,0.0,0.1822257956448909
9,1974,-0.07,0.01,-0.12070996978851986
10,1975,-0.01,0.02,-0.0370033944331296
11,1976,-0.1,0.04,-0.20466164899076322
12,1977,0.18,0.07,0.1946305602716466
13,1978,0.07,0.12,0.05525749915739794
14,1979,0.16,0.16,0.22959844384303063
15,1980,0.26,0.2,0.20584427894380558
16,1981,0.32,0.21,0.22528842891075607
17,1982,0.14,0.22,0.14799897575964455
18,1983,0.31,0.21,0.3512084902430674
19,1984,0.16,0.21,0.07353775510204079
20,1985,0.12,0.22,0.07955692307692305
21,1986,0.18,0.24,0.1339829989799387
22,1987,0.32,0.27,0.43203223617237874
23,1988,0.39,0.31,0.41863441955193537
24,1989,0.28,0.33,0.288633367312267
25,1990,0.45,0.34,0.5855591544493692
26,1991,0.41,0.33,0.3234578767123289
27,1992,0.22,0.33,0.262213461538461
28,1993,0.24,0.34,0.2506238385132969
29,1994,0.32,0.34,0.5622801271860102
30,1995,0.45,0.37,0.6049784400760939
31,1996,0.33,0.4,0.3196078864353315
32,1997,0.47,0.43,0.5886170622193715
33,1998,0.61,0.45,0.9514138040712437
34,1999,0.39,0.48,0.7388105431309884
35,2000,0.4,0.51,0.6962685950413213
36,2001,0.54,0.53,0.7994696969696968
37,2002,0.63,0.55,0.928033898305083
38,2003,0.62,0.59,0.8763154235145391
39,2004,0.54,0.61,0.7885342163355397
40,2005,0.68,0.62,0.8817272727272727
41,2006,0.64,0.63,0.9153263780753654
42,2007,0.67,0.64,0.9963516620068352
43,2008,0.55,0.65,0.8205230046948367
44,2009,0.66,0.65,0.9545562539283471
45,2010,0.73,0.65,1.0651321821036117
46,2011,0.61,0.67,0.8765057939242095
47,2012,0.65,0.7,0.8934957345971559
48,2013,0.68,0.74,0.9856591549295772
49,2014,0.75,0.79,1.1365560453400487
50,2015,0.9,0.83,1.3440839116719245
51,2016,1.02,0.88,1.43367341131837
52,2017,0.93,0.91,1.297190671289003
53,2018,0.85,0.95,1.3145619860847537
54,2019,0.98,0.98,1.4835148452305749
