,Year,European_Union
0,1965,-0.4900000000000001
1,1966,0.03958333333333331
2,1967,0.3609166666666667
3,1968,-0.04441666666666666
4,1969,-0.4143333333333333
5,1970,-0.20141666666666666
6,1971,-0.020249999999999973
7,1972,0.032249999999999966
8,1973,0.04616666666666669
9,1974,0.4424166666666667
10,1975,0.6015833333333332
11,1976,-0.20733333333333331
12,1977,0.15208333333333338
13,1978,-0.40625
14,1979,-0.15108333333333324
15,1980,-0.4705833333333334
16,1981,0.018249999999999992
17,1982,0.5275
18,1983,0.6385833333333333
19,1984,0.12866666666666668
20,1985,-0.5518333333333333
21,1986,-0.08275000000000003
22,1987,-0.30325
23,1988,0.6033333333333333
24,1989,1.30625
25,1990,1.3025000000000002
26,1991,0.3380000000000001
27,1992,0.8670833333333333
28,1993,0.28424999999999995
29,1994,1.1556666666666666
30,1995,0.8555
31,1996,-0.08358333333333337
32,1997,0.9027500000000002
33,1998,0.7391666666666667
34,1999,1.1575833333333334
35,2000,1.5559166666666666
36,2001,0.9458333333333334
37,2002,1.3208333333333335
38,2003,1.20725
39,2004,0.9396666666666668
40,2005,0.9170833333333333
41,2006,1.3689166666666666
42,2007,1.5328333333333333
43,2008,1.38375
44,2009,1.2351666666666663
45,2010,0.265
46,2011,1.586083333333333
47,2012,1.0511666666666666
48,2013,1.1195000000000002
49,2014,2.0089166666666665
50,2015,1.928583333333333
51,2016,1.6086666666666665
52,2017,1.5753333333333333
53,2018,1.95525
54,2019,2.02
0,2030,2.1097082732082697
1,2040,2.489781024531027
2,2050,2.8698537758537697
