,Year,Japan
0,1965,-0.5640833333333334
1,1966,-0.06050000000000005
2,1967,0.0064166666666666435
3,1968,-0.1701666666666666
4,1969,-0.3361666666666667
5,1970,-0.31425
6,1971,-0.2444166666666667
7,1972,0.27225000000000005
8,1973,0.14650000000000005
9,1974,-0.41225
10,1975,0.05149999999999998
11,1976,-0.4914166666666666
12,1977,-0.002333333333333373
13,1978,0.218
14,1979,0.516
15,1980,-0.39466666666666667
16,1981,-0.5736666666666668
17,1982,0.015999999999999976
18,1983,-0.06141666666666664
19,1984,-0.54675
20,1985,0.03816666666666665
21,1986,-0.5206666666666667
22,1987,0.2928333333333334
23,1988,-0.17983333333333335
24,1989,0.5985833333333332
25,1990,1.2132500000000002
26,1991,0.6782500000000001
27,1992,0.3180000000000001
28,1993,-0.03383333333333336
29,1994,0.9951666666666664
30,1995,0.21941666666666668
31,1996,-0.051833333333333335
32,1997,0.5136666666666668
33,1998,1.1882499999999998
34,1999,0.8604166666666666
35,2000,0.6382500000000001
36,2001,0.3310833333333333
37,2002,0.6453333333333334
38,2003,0.4083333333333334
39,2004,1.16475
40,2005,0.417
41,2006,0.6385
42,2007,0.9894166666666666
43,2008,0.6720833333333333
44,2009,0.7259166666666669
45,2010,0.9606666666666666
46,2011,0.4613333333333333
47,2012,0.3221666666666667
48,2013,0.6963333333333334
49,2014,0.4395833333333333
50,2015,1.0564999999999998
51,2016,1.25
52,2017,0.5855833333333333
53,2018,1.0575833333333329
54,2019,1.2558333333333336
0,2030,1.2591617604617582
1,2040,1.5048709956709914
2,2050,1.7505802308802245
