country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent
Canada,3.5624142008703066,2.728781601140396,4.4728998402827695,2.9529573543046235,15.259953231276354,1.3818958467207016,2.436681253239063
US,33.626782039372806,26.608555180337692,31.50308943361493,32.4147658167902,11.667015765703239,24.42077551544941,26.51290805068236
Brazil,12.481291047756615,2.581970545002696,0.4865156613031103,0.2469590581679912,13.020446604885116,0.5872819539956745,1.393411525465014
France,1.6914509050131958,2.8446800330574886,2.0853485249233987,16.957991483152426,2.8385919259665333,0.6400342627981123,1.761894929848396
Germany,5.898558300292014,3.922261429253457,4.157255565309315,6.92784287456836,1.063643231545113,3.853910822020457,3.9460303316969534
Norway,0.11290506274729395,0.2655399658274381,0.21240381424168664,0.0,6.066082451919322,0.04484849494425412,0.1567706542807969
United Kingdom,1.8703184813468765,2.384603792511009,5.080560805496512,3.47453200591236,0.21753621286096525,1.659304968770232,2.615644819253213
China,1.219649597561007,6.6463599781193485,1.2380711335376542,0.6836509686665017,9.513301542338604,31.89815567307255,15.521670697656436
India,1.3086820823991958,3.1807007161493885,1.2715071081069271,0.644087653726442,3.2931638907047165,7.426574624089441,4.429128288361514
Japan,6.415719045241995,7.728742482764776,3.793311956014776,13.035058444612453,3.613010002599961,4.314267010850621,5.704774359337312
Philippines,4.503048928126819,0.4960385126555234,0.0005110871868829677,0.0,0.3335921888795413,0.18126770442206402,0.30871960752643873
South Korea,0.039107891555482256,3.1362778274029592,0.9930213567495776,4.4508075760605115,0.17150346989338786,1.9392509294647613,2.0350939267214443
